ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
6,"Two or More Races",1,"Hispanic or Latino",2020,"2020",7740.65862830806,"Illinois","04000US17","illinois",262043,0.020607079304733725
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",1090,"Illinois","04000US17","illinois",7829850,0.6131137921062788
0,"White Alone",1,"Hispanic or Latino",2019,"2019",11162,"Illinois","04000US17","illinois",1305053,0.10219173978169128
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",3752.9999999999995,"Illinois","04000US17","illinois",1783708,0.1396726598709179
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",1933,"Illinois","04000US17","illinois",29882,0.002339900040961171
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",850.9999999999999,"Illinois","04000US17","illinois",15108,0.0011830268997671297
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",1834.0000000000002,"Illinois","04000US17","illinois",18352,0.0014370472375249117
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",2563,"Illinois","04000US17","illinois",692370,0.054215801866015864
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",727,"Illinois","04000US17","illinois",6154,0.0004818869169424753
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",338,"Illinois","04000US17","illinois",2908,0.00022770996985192038
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",427,"Illinois","04000US17","illinois",1569,0.00012286002156040683
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",1424,"Illinois","04000US17","illinois",20480,0.0016036795675953678
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",11668,"Illinois","04000US17","illinois",736751,0.05769104126491479
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",5076.612748674062,"Illinois","04000US17","illinois",239820,0.018779025092808647
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",3508.521198453844,"Illinois","04000US17","illinois",88626,0.0069398293631692904
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",1461,"Illinois","04000US17","illinois",7894286,0.6157070426331652
0,"White Alone",1,"Hispanic or Latino",2018,"2018",10472,"Illinois","04000US17","illinois",1294899,0.10099436906626426
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",3855.0000000000005,"Illinois","04000US17","illinois",1796057,0.1400816924887944
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",2243,"Illinois","04000US17","illinois",28068,0.002189135948789755
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",817,"Illinois","04000US17","illinois",15037,0.0011727959691446327
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",1804,"Illinois","04000US17","illinois",16827,0.0013124052518984327
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",2738,"Illinois","04000US17","illinois",685343,0.05345265065381991
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",839,"Illinois","04000US17","illinois",5479,0.00042732919564696694
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",386,"Illinois","04000US17","illinois",3088,0.00024084551125348313
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",374,"Illinois","04000US17","illinois",1494,0.00011652305499116055
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",1493,"Illinois","04000US17","illinois",20105,0.0015680696255671238
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",10880,"Illinois","04000US17","illinois",742401,0.05790283303111953
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",4755.50144569424,"Illinois","04000US17","illinois",232739,0.01815224852448977
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",3500.5371016459744,"Illinois","04000US17","illinois",85674,0.006682059045055347
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",1458,"Illinois","04000US17","illinois",7955484,0.6188858305627138
0,"White Alone",1,"Hispanic or Latino",2017,"2017",10740,"Illinois","04000US17","illinois",1281217,0.09967049737967779
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",3175,"Illinois","04000US17","illinois",1806398,0.14052622399301226
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",1522,"Illinois","04000US17","illinois",27103,0.0021084402489831206
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",889.0000000000001,"Illinois","04000US17","illinois",14458,0.0011247400331992016
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",1646,"Illinois","04000US17","illinois",15238,0.0011854190500684351
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",2728,"Illinois","04000US17","illinois",666890,0.05187978148708089
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",689,"Illinois","04000US17","illinois",4921,0.00038282236155576645
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",403,"Illinois","04000US17","illinois",2979,0.0002317471682736493
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",319,"Illinois","04000US17","illinois",1296,0.00010082052033657251
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",1543,"Illinois","04000US17","illinois",19061,0.0014828240263390499
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",11107,"Illinois","04000US17","illinois",748084,0.05819615596872261
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",3769.1229749107424,"Illinois","04000US17","illinois",227186,0.017673619392889323
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",3646.527114941009,"Illinois","04000US17","illinois",84211,0.006551077807147459
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",1824.0000000000002,"Illinois","04000US17","illinois",7996856,0.6222418789630993
0,"White Alone",1,"Hispanic or Latino",2016,"2016",9329,"Illinois","04000US17","illinois",1274051,0.09913494605064986
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",3810.0000000000005,"Illinois","04000US17","illinois",1810559,0.14088107052741103
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",1848,"Illinois","04000US17","illinois",27053,0.0021050159652229233
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",743,"Illinois","04000US17","illinois",14378,0.0011187638911756622
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",1769,"Illinois","04000US17","illinois",15021,0.00116879624491234
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",2612,"Illinois","04000US17","illinois",650929,0.05064931568501062
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",561,"Illinois","04000US17","illinois",4870,0.00037893866671480565
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",345,"Illinois","04000US17","illinois",2994,0.00023296557867435894
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",334,"Illinois","04000US17","illinois",1192,0.00009275049090842881
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",1398,"Illinois","04000US17","illinois",18545,0.0014430015552825606
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",9890,"Illinois","04000US17","illinois",735014,0.05719203802396635
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",4826.02610850791,"Illinois","04000US17","illinois",220949,0.017192221657488623
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",2954.805746576245,"Illinois","04000US17","illinois",79273,0.006168296699483118
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",1771,"Illinois","04000US17","illinois",8041878,0.6246719975615518
0,"White Alone",1,"Hispanic or Latino",2015,"2015",10357,"Illinois","04000US17","illinois",1270893,0.09871963601002069
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",3661.9999999999995,"Illinois","04000US17","illinois",1818938,0.14129033465822458
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",1764.9999999999998,"Illinois","04000US17","illinois",27170,0.0021104943613602894
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",783,"Illinois","04000US17","illinois",14228,0.0011051937347601839
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",1625,"Illinois","04000US17","illinois",14135,0.0010979697386024178
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",2430,"Illinois","04000US17","illinois",641068,0.049796481385665
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",565,"Illinois","04000US17","illinois",4574,0.0003552963271572309
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",368,"Illinois","04000US17","illinois",2567,0.00019939782942995446
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",232.99999999999997,"Illinois","04000US17","illinois",840,0.00006524899755401705
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",1644,"Illinois","04000US17","illinois",17388,0.0013506542493681528
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",11395,"Illinois","04000US17","illinois",730545,0.0567468201405945
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",4469.320418139653,"Illinois","04000US17","illinois",214853,0.01668921770413479
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",3066.648496322981,"Illinois","04000US17","illinois",74684,0.005801257301576439
